Creating surface profile...
Computing temperature evolution...
V12.671 isualisation
         6551831 function calls (6505180 primitive calls) in 12.671 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      862    0.001    0.000    0.053    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
   164394    0.035    0.000    0.053    0.000 core.py:6450(isMaskedArray)
  863/862    0.003    0.000    0.052    0.000 <frozen importlib._bootstrap_external>:1399(_get_spec)
        1    0.000    0.000    0.052    0.052 patches.py:1(<module>)
        1    0.000    0.000    0.047    0.047 axes3d.py:1(<module>)
   117/80    0.000    0.000    0.046    0.001 <frozen importlib._bootstrap_external>:1182(exec_module)
   117/80    0.016    0.000    0.046    0.001 {built-in method _imp.exec_dynamic}
     5304    0.003    0.000    0.045    0.000 re.py:197(search)
     1227    0.011    0.000    0.044    0.000 <frozen importlib._bootstrap_external>:1536(find_spec)
   164448    0.043    0.000    0.043    0.000 {built-in method numpy.asarray}
        1    0.000    0.000    0.043    0.043 _laplacian.py:1(<module>)
      213    0.014    0.000    0.043    0.000 artist.py:1521(get_setters)
 27424/24    0.031    0.000    0.042    0.002 _idl.py:564(_replace_heap)
        1    0.000    0.000    0.040    0.040 _base.py:1518(parse)
        1    0.000    0.000    0.040    0.040 _base.py:692(parse)
        9    0.000    0.000    0.038    0.004 _base.py:734(__init_subclass__)
  118/116    0.000    0.000    0.036    0.000 <frozen importlib._bootstrap_external>:1174(create_module)
  118/116    0.033    0.000    0.035    0.000 {built-in method _imp.create_dynamic}
    94633    0.035    0.000    0.035    0.000 {method 'get' of 'dict' objects}
      245    0.001    0.000    0.035    0.000 sre_parse.py:944(parse)
        3    0.001    0.000    0.034    0.011 core.py:1(<module>)
  548/245    0.002    0.000    0.032    0.000 sre_parse.py:436(_parse_sub)
        1    0.000    0.000    0.032    0.032 _fontconfig_pattern.py:1(<module>)
  596/249    0.012    0.000    0.031    0.000 sre_parse.py:494(_parse)
      106    0.000    0.000    0.030    0.000 re.py:249(compile)
      132    0.001    0.000    0.029    0.000 _docstring.py:38(__call__)
    42233    0.023    0.000    0.029    0.000 book.py:676(get_record_parts)
  122/111    0.000    0.000    0.029    0.000 _docstring.py:79(__call__)
      409    0.003    0.000    0.029    0.000 textwrap.py:422(dedent)
      658    0.001    0.000    0.027    0.000 inspect.py:3252(signature)
      105    0.001    0.000    0.027    0.000 std.py:1195(update)
        1    0.000    0.000    0.027    0.027 colors.py:1(<module>)
  730/665    0.004    0.000    0.027    0.000 inspect.py:2375(_signature_from_callable)
      658    0.001    0.000    0.026    0.000 inspect.py:2998(from_callable)
    27445    0.012    0.000    0.026    0.000 _idl.py:75(_align_32)
       30    0.004    0.000    0.026    0.001 __init__.py:831(_rc_params_in_file)
      108    0.000    0.000    0.026    0.000 std.py:1322(refresh)
   164394    0.025    0.000    0.025    0.000 _misc.py:181(_datacopied)
      111    0.000    0.000    0.025    0.000 std.py:1461(display)
      786    0.002    0.000    0.024    0.000 <frozen importlib._bootstrap_external>:1070(get_data)
        1    0.000    0.000    0.023    0.023 lgmres.py:1(<module>)
       12    0.000    0.000    0.023    0.002 _docstring.py:51(__missing__)
        1    0.000    0.000    0.022    0.022 art3d.py:1(<module>)
   149106    0.022    0.000    0.022    0.000 {built-in method _struct.unpack}
        1    0.000    0.000    0.022    0.022 _xlrd.py:64(get_sheet_data)
        1    0.000    0.000    0.022    0.022 _decorators.py:1(<module>)
230800/229206    0.022    0.000    0.022    0.000 {built-in method builtins.len}
      213    0.012    0.000    0.022    0.000 artist.py:1457(<listcomp>)
      181    0.008    0.000    0.022    0.000 _xlrd.py:120(<listcomp>)
        1    0.000    0.000    0.021    0.021 multiarray.py:1(<module>)
        1    0.000    0.000    0.021    0.021 _csr.py:1(<module>)
      840    0.004    0.000    0.021    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
        1    0.000    0.000    0.020    0.020 overrides.py:1(<module>)
    82199    0.020    0.000    0.020    0.000 {built-in method numpy.core._multiarray_umath.normalize_axis_index}
        1    0.000    0.000    0.020    0.020 axis.py:1(<module>)
   149048    0.020    0.000    0.020    0.000 {method 'append' of 'list' objects}
       43    0.014    0.000    0.020    0.000 enum.py:180(__new__)
      245    0.001    0.000    0.019    0.000 sre_compile.py:622(_code)
        1    0.000    0.000    0.019    0.019 _axes.py:46(Axes)
      645    0.007    0.000    0.019    0.000 inspect.py:2280(_signature_from_function)
        2    0.000    0.000    0.018    0.009 core.py:235(read_style_directory)
     9307    0.018    0.000    0.018    0.000 {method 'search' of 're.Pattern' objects}
        1    0.000    0.000    0.018    0.018 geo.py:1(<module>)
        1    0.000    0.000    0.018    0.018 offsetbox.py:1(<module>)
      111    0.001    0.000    0.018    0.000 std.py:1147(__str__)
    75468    0.017    0.000    0.017    0.000 {built-in method builtins.getattr}
    46335    0.017    0.000    0.017    0.000 sheet.py:714(put_cell_unragged)
        1    0.000    0.000    0.017    0.017 readers.py:1688(read)
      435    0.017    0.000    0.017    0.000 {built-in method builtins.dir}
        2    0.000    0.000    0.016    0.008 indexing.py:1(<module>)
      969    0.001    0.000    0.016    0.000 __init__.py:695(__setitem__)
      111    0.003    0.000    0.016    0.000 std.py:352(format_meter)
        7    0.000    0.000    0.016    0.002 common.py:1(<module>)
    82198    0.016    0.000    0.016    0.000 function_base.py:1316(_diff_dispatcher)
     1436    0.005    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
        1    0.000    0.000    0.015    0.015 polar.py:1(<module>)
   109473    0.015    0.000    0.015    0.000 {method 'startswith' of 'str' objects}
    82197    0.015    0.000    0.015    0.000 function_base.py:867(_copy_dispatcher)
        1    0.000    0.000    0.015    0.015 Image.py:1(<module>)
        1    0.000    0.000    0.015    0.015 _pickle.py:1(<module>)
    27434    0.009    0.000    0.014    0.000 _idl.py:90(_read_bytes)
      276    0.001    0.000    0.014    0.000 _decorators.py:360(decorator)
    27445    0.014    0.000    0.014    0.000 {method 'tell' of '_io.BufferedReader' objects}
     1491    0.013    0.000    0.014    0.000 {method 'sub' of 're.Pattern' objects}
     6484    0.005    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
      429    0.001    0.000    0.014    0.000 artist.py:1540(number_of_parameters)
     6400    0.008    0.000    0.014    0.000 inspect.py:2637(__init__)
    82711    0.014    0.000    0.014    0.000 {built-in method numpy.asanyarray}
 1280/245    0.006    0.000    0.014    0.000 sre_compile.py:87(_compile)
        1    0.000    0.000    0.014    0.014 lines.py:1(<module>)
    46336    0.013    0.000    0.013    0.000 _xlrd.py:77(_parse_cell)
     3254    0.002    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      155    0.000    0.000    0.013    0.000 _decorators.py:481(__call__)
        1    0.000    0.000    0.013    0.013 image.py:1(<module>)
     3268    0.012    0.000    0.012    0.000 {built-in method posix.stat}
