Creating surface profile...
Computing temperature evolution...
Visualisation
         40024054 function calls (39816329 primitive calls) in 67.037 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  114/110    0.000    0.000    0.319    0.003 base.py:1218(wrapper)
    85/73    0.001    0.000    0.293    0.004 typeinfer.py:570(__call__)
       17    0.000    0.000    0.281    0.017 codegen.py:723(add_ir_module)
  126/118    0.000    0.000    0.280    0.002 templates.py:607(generic)
        1    0.000    0.000    0.279    0.279 solar_flux.py:1(<module>)
  126/118    0.001    0.000    0.279    0.002 templates.py:698(_get_impl)
      100    0.001    0.000    0.275    0.003 artist.py:159(_update_set_signature_and_docstring)
      8/5    0.000    0.000    0.274    0.055 templates.py:756(_build_impl)
     14/3    0.000    0.000    0.274    0.091 functions.py:534(get_call_type)
     14/3    0.000    0.000    0.273    0.091 dispatcher.py:348(get_call_template)
       99    0.000    0.000    0.270    0.003 artist.py:126(__init_subclass__)
       30    0.000    0.000    0.260    0.009 base.py:876(compile_internal)
   728329    0.240    0.000    0.250    0.000 {method 'get' of 'dict' objects}
        4    0.000    0.000    0.222    0.056 npyimpl.py:336(numpy_ufunc_kernel)
        1    0.000    0.000    0.217    0.217 figure.py:1(<module>)
      112    0.000    0.000    0.215    0.002 artist.py:1841(kwdoc)
  1369950    0.206    0.000    0.206    0.000 _misc.py:181(_datacopied)
       12    0.000    0.000    0.201    0.017 codegen.py:781(_finalize_final_module)
       12    0.000    0.000    0.200    0.017 codegen.py:667(_optimize_final_module)
       24    0.000    0.000    0.199    0.008 passmanagers.py:206(run)
       11    0.000    0.000    0.195    0.018 compiler.py:404(__init__)
        4    0.000    0.000    0.190    0.048 npyimpl.py:230(_build_array)
      112    0.006    0.000    0.185    0.002 artist.py:1602(pprint_setters)
    27402    0.068    0.000    0.184    0.000 _idl.py:169(_read_string_data)
  312/137    0.001    0.000    0.183    0.001 base.py:264(refresh)
        1    0.000    0.000    0.175    0.175 colorbar.py:1(<module>)
       12    0.000    0.000    0.174    0.014 codegen.py:996(_finalize_specific)
      990    0.009    0.000    0.173    0.000 <frozen importlib._bootstrap_external>:950(get_code)
70075/38600    0.059    0.000    0.165    0.000 {method 'format' of 'str' objects}
       27    0.000    0.000    0.163    0.006 codegen.py:1058(wrapper)
       12    0.000    0.000    0.162    0.014 executionengine.py:87(finalize_object)
   684977    0.150    0.000    0.150    0.000 {built-in method numpy.core._multiarray_umath.normalize_axis_index}
        9    0.000    0.000    0.150    0.017 api.py:1(<module>)
     4050    0.013    0.000    0.149    0.000 artist.py:1474(get_valid_values)
       44    0.000    0.000    0.149    0.003 module.py:233(__repr__)
       44    0.000    0.000    0.148    0.003 module.py:207(_get_body_lines)
       44    0.000    0.000    0.148    0.003 module.py:212(<listcomp>)
        1    0.000    0.000    0.146    0.146 solar_flux.py:34(import_albedos)
        1    0.000    0.000    0.146    0.146 _base.py:437(read_excel)
      115    0.000    0.000    0.145    0.001 values.py:1010(__str__)
      115    0.000    0.000    0.144    0.001 values.py:1003(descr)
      312    0.005    0.000    0.143    0.000 cpu.py:68(load_additional_registries)
      617    0.006    0.000    0.143    0.000 std.py:1195(update)
   815741    0.141    0.000    0.141    0.000 {method 'append' of 'list' objects}
      642    0.002    0.000    0.139    0.000 std.py:1322(refresh)
       23    0.000    0.000    0.139    0.006 values.py:996(descr_body)
     1026    0.002    0.000    0.138    0.000 values.py:1139(descr)
37582/15709    0.023    0.000    0.138    0.000 _utils.py:44(__str__)
      667    0.002    0.000    0.137    0.000 std.py:1461(display)
     1026    0.003    0.000    0.134    0.000 values.py:1141(<listcomp>)
