Creating surface profile...
Computing temperature evolution...
         5351012 function calls (5302262 primitive calls) in 6.801 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.054    0.054 dispatcher.py:1(<module>)
        1    0.000    0.000    0.053    0.053 frame.py:1(<module>)
        1    0.000    0.000    0.051    0.051 compiler.py:1(<module>)
        1    0.000    0.000    0.051    0.051 _axes.py:1(<module>)
        9    0.000    0.000    0.048    0.005 base.py:1(<module>)
        1    0.000    0.000    0.043    0.043 _laplacian.py:1(<module>)
     5304    0.003    0.000    0.043    0.000 re.py:197(search)
        2    0.000    0.000    0.042    0.021 builtins.py:1(<module>)
      213    0.014    0.000    0.042    0.000 artist.py:1521(get_setters)
 27424/24    0.031    0.000    0.041    0.002 _idl.py:564(_replace_heap)
        1    0.000    0.000    0.041    0.041 axes3d.py:1(<module>)
   125/88    0.000    0.000    0.039    0.000 <frozen importlib._bootstrap_external>:1182(exec_module)
        1    0.000    0.000    0.039    0.039 _base.py:1518(parse)
        1    0.000    0.000    0.039    0.039 _base.py:692(parse)
   125/88    0.013    0.000    0.038    0.000 {built-in method _imp.exec_dynamic}
      264    0.001    0.000    0.037    0.000 sre_parse.py:944(parse)
      128    0.000    0.000    0.036    0.000 re.py:249(compile)
        9    0.000    0.000    0.035    0.004 _base.py:734(__init_subclass__)
  592/264    0.002    0.000    0.035    0.000 sre_parse.py:436(_parse_sub)
  643/271    0.013    0.000    0.033    0.000 sre_parse.py:494(_parse)
        4    0.000    0.000    0.030    0.008 context.py:1(<module>)
        9    0.000    0.000    0.030    0.003 common.py:1(<module>)
        3    0.000    0.000    0.030    0.010 core.py:1(<module>)
        1    0.000    0.000    0.030    0.030 special.py:1(<module>)
  126/123    0.000    0.000    0.029    0.000 <frozen importlib._bootstrap_external>:1174(create_module)
      701    0.001    0.000    0.029    0.000 inspect.py:3252(signature)
       51    0.022    0.000    0.029    0.001 enum.py:180(__new__)
  126/123    0.026    0.000    0.028    0.000 {built-in method _imp.create_dynamic}
        1    0.000    0.000    0.028    0.028 _fontconfig_pattern.py:1(<module>)
  775/708    0.005    0.000    0.028    0.000 inspect.py:2375(_signature_from_callable)
      701    0.001    0.000    0.028    0.000 inspect.py:2998(from_callable)
      132    0.001    0.000    0.028    0.000 _docstring.py:38(__call__)
    42233    0.022    0.000    0.028    0.000 book.py:676(get_record_parts)
  122/111    0.000    0.000    0.028    0.000 _docstring.py:79(__call__)
      410    0.003    0.000    0.027    0.000 textwrap.py:422(dedent)
   104585    0.025    0.000    0.027    0.000 {method 'get' of 'dict' objects}
     1838    0.006    0.000    0.026    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
     1012    0.003    0.000    0.026    0.000 <frozen importlib._bootstrap_external>:1070(get_data)
     4042    0.002    0.000    0.025    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
     7895    0.006    0.000    0.025    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
        1    0.000    0.000    0.025    0.025 colors.py:1(<module>)
   176480    0.024    0.000    0.024    0.000 {built-in method numpy.asarray}
        1    0.000    0.000    0.024    0.024 callconv.py:1(<module>)
        1    0.000    0.000    0.024    0.024 multiarray.py:1(<module>)
     4057    0.023    0.000    0.023    0.000 {built-in method posix.stat}
     1049    0.004    0.000    0.023    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
       30    0.003    0.000    0.023    0.001 __init__.py:831(_rc_params_in_file)
        1    0.000    0.000    0.023    0.023 overrides.py:1(<module>)
       12    0.000    0.000    0.023    0.002 _docstring.py:51(__missing__)
        1    0.000    0.000    0.022    0.022 rules.py:1(<module>)
    27445    0.010    0.000    0.022    0.000 _idl.py:75(_align_32)
        1    0.000    0.000    0.022    0.022 rules.py:15(_init_casting_rules)
       44    0.000    0.000    0.022    0.000 castgraph.py:119(insert_rule)
        1    0.000    0.000    0.022    0.022 _xlrd.py:64(get_sheet_data)
       44    0.005    0.000    0.021    0.000 castgraph.py:92(propagate)
      213    0.012    0.000    0.021    0.000 artist.py:1457(<listcomp>)
      181    0.008    0.000    0.021    0.000 _xlrd.py:120(<listcomp>)
      264    0.000    0.000    0.021    0.000 sre_compile.py:622(_code)
        1    0.000    0.000    0.020    0.020 hashing.py:1(<module>)
        1    0.000    0.000    0.020    0.020 art3d.py:1(<module>)
   149106    0.020    0.000    0.020    0.000 {built-in method _struct.unpack}
        1    0.000    0.000    0.020    0.020 wavfile.py:1(<module>)
22436/22423    0.018    0.000    0.020    0.000 {method 'join' of 'str' objects}
      688    0.007    0.000    0.020    0.000 inspect.py:2280(_signature_from_function)
        2    0.000    0.000    0.020    0.010 config.py:1(<module>)
        1    0.000    0.000    0.019    0.019 axis.py:1(<module>)
        1    0.000    0.000    0.018    0.018 _decorators.py:1(<module>)
        1    0.000    0.000    0.018    0.018 cpu.py:1(<module>)
    79458    0.017    0.000    0.018    0.000 {built-in method builtins.getattr}
     9307    0.018    0.000    0.018    0.000 {method 'search' of 're.Pattern' objects}
        1    0.000    0.000    0.018    0.018 lgmres.py:1(<module>)
        1    0.000    0.000    0.017    0.017 _axes.py:46(Axes)
    88213    0.017    0.000    0.017    0.000 _misc.py:181(_datacopied)
        1    0.000    0.000    0.017    0.017 geo.py:1(<module>)
        1    0.000    0.000    0.016    0.016 offsetbox.py:1(<module>)
    46335    0.016    0.000    0.016    0.000 sheet.py:714(put_cell_unragged)
     1008    0.001    0.000    0.016    0.000 abc.py:105(__new__)
      435    0.016    0.000    0.016    0.000 {built-in method builtins.dir}
        2    0.000    0.000    0.016    0.008 core.py:235(read_style_directory)
        1    0.000    0.000    0.016    0.016 readers.py:1688(read)
       17    0.016    0.001    0.016    0.001 generic.py:36(create_pandas_abc_type)
 1370/264    0.007    0.000    0.016    0.000 sre_compile.py:87(_compile)
    88213    0.015    0.000    0.015    0.000 numeric.py:427(_count_nonzero_dispatcher)
        1    0.000    0.000    0.015    0.015 parfor_lowering.py:1(<module>)
        2    0.000    0.000    0.015    0.007 indexing.py:1(<module>)
       24    0.000    0.000    0.015    0.001 castgraph.py:131(unsafe)
   110661    0.015    0.000    0.015    0.000 {method 'startswith' of 'str' objects}
      969    0.001    0.000    0.015    0.000 __init__.py:695(__setitem__)
        1    0.000    0.000    0.015    0.015 lines.py:1(<module>)
     4123    0.013    0.000    0.014    0.000 {built-in method __new__ of type object at 0x7f9e605a70c0}
      429    0.001    0.000    0.014    0.000 artist.py:1540(number_of_parameters)
     6483    0.008    0.000    0.014    0.000 inspect.py:2637(__init__)
      276    0.001    0.000    0.013    0.000 _decorators.py:360(decorator)
        1    0.000    0.000    0.013    0.013 Image.py:1(<module>)
     1963    0.001    0.000    0.013    0.000 <frozen importlib._bootstrap>:391(cached)
    46336    0.013    0.000    0.013    0.000 _xlrd.py:77(_parse_cell)
     1322    0.013    0.000    0.013    0.000 {method 'sub' of 're.Pattern' objects}
       54    0.000    0.000    0.013    0.000 std.py:1461(display)
        1    0.000    0.000    0.013    0.013 entrypoints.py:1(<module>)
        1    0.000    0.000    0.013    0.013 polar.py:1(<module>)
      155    0.000    0.000    0.013    0.000 _decorators.py:481(__call__)
       46    0.001    0.000    0.013    0.000 std.py:1195(update)
       50    0.000    0.000    0.013    0.000 std.py:1322(refresh)
        1    0.000    0.000    0.013    0.013 _add_newdocs_scalars.py:1(<module>)
        1    0.000    0.000    0.013    0.013 parfor.py:1(<module>)
        1    0.000    0.000    0.012    0.012 _pickle.py:1(<module>)
150721/149035    0.011    0.000    0.012    0.000 {built-in method builtins.len}
    27445    0.012    0.000    0.012    0.000 {method 'tell' of '_io.BufferedReader' objects}
     1044    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
     1012    0.012    0.000    0.012    0.000 {built-in method io.open_code}
        1    0.000    0.000    0.011    0.011 image.py:1(<module>)
        1    0.000    0.000    0.011    0.011 platform.py:1(<module>)
    27434    0.007    0.000    0.011    0.000 _idl.py:90(_read_bytes)
        1    0.000    0.000    0.011    0.011 python_parser.py:245(read)
  393/373    0.000    0.000    0.011    0.000 typing.py:306(inner)
       92    0.001    0.000    0.011    0.000 __init__.py:1368(_preprocess_data)
      929    0.001    0.000    0.010    0.000 artist.py:1546(is_alias)
        1    0.000    0.000    0.010    0.010 python_parser.py:338(_convert_data)
        1    0.001    0.001    0.010    0.010 base_parser.py:503(_convert_to_ndarrays)
        1    0.000    0.000    0.010    0.010 hb.py:1(<module>)
        9    0.000    0.000    0.010    0.001 typeconv.py:103(safe_unsafe)
     4050    0.005    0.000    0.010    0.000 artist.py:1559(aliased_name)
        1    0.000    0.000    0.010    0.010 ir_utils.py:1(<module>)
    55481    0.010    0.000    0.010    0.000 {built-in method builtins.min}
        2    0.000    0.000    0.009    0.005 _adapters.py:1(<module>)
     1098    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap>:169(__enter__)
19612/19591    0.006    0.000    0.009    0.000 abstract.py:117(__hash__)
       54    0.000    0.000    0.009    0.000 std.py:1147(__str__)
      962    0.007    0.000    0.009    0.000 inspect.py:2920(__init__)
      100    0.002    0.000    0.009    0.000 artist.py:170(<listcomp>)
      410    0.009    0.000    0.009    0.000 {method 'findall' of 're.Pattern' objects}
        1    0.000    0.000    0.009    0.009 axis3d.py:1(<module>)
        1    0.000    0.000    0.009    0.009 cm.py:1(<module>)
        1    0.000    0.000    0.009    0.009 py3k.py:1(<module>)
      314    0.001    0.000    0.009    0.000 overrides.py:170(decorator)
     1551    0.005    0.000    0.009    0.000 functools.py:35(update_wrapper)
        1    0.000    0.000    0.008    0.008 message.py:1(<module>)
       54    0.002    0.000    0.008    0.000 std.py:352(format_meter)
     7060    0.004    0.000    0.008    0.000 enum.py:359(__call__)
        2    0.000    0.000    0.008    0.004 array.py:1(<module>)
      256    0.001    0.000    0.008    0.000 base_parser.py:662(_infer_types)
        1    0.000    0.000    0.008    0.008 series.py:1(<module>)
        1    0.000    0.000    0.008    0.008 npydecl.py:1(<module>)
       81    0.003    0.000    0.008    0.000 __init__.py:328(namedtuple)
        1    0.000    0.000    0.008    0.008 quiver.py:1(<module>)
     4814    0.005    0.000    0.008    0.000 sheet.py:2219(unpack_RK)
     7895    0.006    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
     1045    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1531(_get_spec)
        1    0.000    0.000    0.008    0.008 ExifTags.py:1(<module>)
     2193    0.005    0.000    0.007    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
      706    0.001    0.000    0.007    0.000 re.py:202(sub)
      100    0.001    0.000    0.007    0.000 deprecation.py:416(make_keyword_only)
        2    0.000    0.000    0.007    0.004 extending.py:1(<module>)
    73717    0.007    0.000    0.007    0.000 {method 'lstrip' of 'str' objects}
        1    0.000    0.000    0.007    0.007 cm.py:33(_gen_cmap_registry)
        8    0.000    0.000    0.007    0.001 utils.py:1(<module>)
        9    0.000    0.000    0.007    0.001 typeconv.py:96(promote_unsafe)
       99    0.004    0.000    0.007    0.000 {built-in method builtins.eval}
        1    0.000    0.000    0.007    0.007 iterative.py:1(<module>)
     1095    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap>:216(_lock_unlock_module)
     1086    0.003    0.000    0.007    0.000 enum.py:89(__setitem__)
     1422    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
        1    0.000    0.000    0.007    0.007 common.py:8(pyparsing_common)
        1    0.000    0.000    0.007    0.007 dylib.py:1(<module>)
       18    0.000    0.000    0.006    0.000 rcsetup.py:721(validate_cycler)
     8492    0.006    0.000    0.006    0.000 {method 'format' of 'str' objects}
     2647    0.002    0.000    0.006    0.000 castgraph.py:39(insert)
        1    0.000    0.000    0.006    0.006 index_tricks.py:1(<module>)
        1    0.000    0.000    0.006    0.006 secrets.py:1(<module>)
        1    0.000    0.000    0.006    0.006 ffi.py:1(<module>)
      162    0.000    0.000    0.006    0.000 utils.py:309(disp_len)
    69087    0.006    0.000    0.006    0.000 {method 'append' of 'list' objects}
        3    0.000    0.000    0.006    0.002 datetimes.py:1(<module>)
        3    0.000    0.000    0.006    0.002 numeric.py:1(<module>)
     1538    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
        1    0.000    0.000    0.006    0.006 artist.py:1(<module>)
        1    0.000    0.000    0.006    0.006 pythonapi.py:1(<module>)
        3    0.000    0.000    0.006    0.002 patches.py:2184(__init_subclass__)
      238    0.001    0.000    0.006    0.000 {built-in method builtins.sum}
        6    0.000    0.000    0.006    0.001 patches.py:2226(pprint_styles)
      162    0.000    0.000    0.006    0.000 utils.py:305(_text_width)
  139/119    0.000    0.000    0.006    0.000 typing.py:401(__getitem__)
        1    0.000    0.000    0.006    0.006 helpers.py:1(<module>)
     1839    0.003    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
     1045    0.003    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:721(spec_from_file_location)
       47    0.000    0.000    0.006    0.000 __init__.py:1324(_add_data_doc)
        2    0.000    0.000    0.006    0.003 category.py:1(<module>)
        2    0.000    0.000    0.006    0.003 _pep440.py:1(<module>)
        1    0.000    0.000    0.006    0.006 _typing.py:1(<module>)
     7085    0.002    0.000    0.005    0.000 sre_parse.py:255(get)
    17695    0.005    0.000    0.005    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.005    0.005 font_manager.py:1(<module>)
      119    0.000    0.000    0.005    0.000 typing.py:483(Union)
       12    0.000    0.000    0.005    0.000 __init__.py:108(import_module)
       12    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap>:1038(_gcd_import)
        1    0.000    0.000    0.005    0.005 textpath.py:1(<module>)
        6    0.000    0.000    0.005    0.001 patches.py:2230(<listcomp>)
        1    0.000    0.000    0.005    0.005 ewm.py:1(<module>)
        1    0.000    0.000    0.005    0.005 containers.py:1(<module>)
      132    0.000    0.000    0.005    0.000 extending.py:127(decorate)
     8706    0.005    0.000    0.005    0.000 {method 'split' of 'str' objects}
        2    0.000    0.000    0.005    0.003 analysis.py:1(<module>)
        1    0.000    0.000    0.005    0.005 subprocess.py:1(<module>)
        2    0.000    0.000    0.005    0.003 categorical.py:1(<module>)
      264    0.001    0.000    0.005    0.000 sre_compile.py:560(_compile_info)
        1    0.000    0.000    0.005    0.005 overloads.py:1(<module>)
      284    0.001    0.000    0.005    0.000 overrides.py:88(verify_matching_signatures)
     1598    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1356(_path_importer_cache)
        3    0.000    0.000    0.005    0.002 typeconv.py:110(unsafe_unsafe)
     2193    0.004    0.000    0.005    0.000 <frozen importlib._bootstrap>:100(acquire)
        1    0.000    0.000    0.005    0.005 units.py:1(<module>)
        1    0.000    0.000    0.005    0.005 table.py:1(<module>)
        7    0.000    0.000    0.005    0.001 dataclasses.py:1174(wrap)
        7    0.000    0.000    0.005    0.001 dataclasses.py:881(_process_class)
      256    0.001    0.000    0.005    0.000 typing.py:1016(__init__)
        1    0.000    0.000    0.005    0.005 typeof.py:1(<module>)
       32    0.000    0.000    0.005    0.000 colors.py:1027(from_list)
        1    0.000    0.000    0.005    0.005 frame.py:640(__init__)
        1    0.000    0.000    0.005    0.005 construction.py:411(dict_to_mgr)
     9389    0.003    0.000    0.005    0.000 sre_parse.py:165(__getitem__)
        1    0.000    0.000    0.005    0.005 describe.py:1(<module>)
      276    0.000    0.000    0.005    0.000 _decorators.py:384(<listcomp>)
        1    0.000    0.000    0.005    0.005 decimal.py:1(<module>)
        2    0.000    0.000    0.005    0.002 _pep440.py:285(Version)
       11    0.000    0.000    0.005    0.000 core.py:1076(parse_string)
        1    0.000    0.000    0.005    0.005 pathlib.py:1(<module>)
      409    0.000    0.000    0.005    0.000 rcsetup.py:307(validate_color)
        2    0.000    0.000    0.004    0.002 _matfuncs.py:1(<module>)
        1    0.000    0.000    0.004    0.004 scale.py:1(<module>)
      302    0.003    0.000    0.004    0.000 sre_compile.py:292(_optimize_charset)
        4    0.000    0.000    0.004    0.001 version.py:1(<module>)
     2193    0.004    0.000    0.004    0.000 <frozen importlib._bootstrap>:125(release)
       11    0.000    0.000    0.004    0.000 castgraph.py:128(safe)
        1    0.000    0.000    0.004    0.004 legend.py:1(<module>)
      256    0.004    0.000    0.004    0.000 {pandas._libs.lib.maybe_convert_numeric}
        9    0.000    0.000    0.004    0.000 typeconv.py:84(unsafe)
        2    0.000    0.000    0.004    0.002 __init__.py:340(__init__)
    12395    0.003    0.000    0.004    0.000 utils.py:306(<genexpr>)
        4    0.000    0.000    0.004    0.001 _optional.py:91(import_optional_dependency)
        2    0.004    0.002    0.004    0.002 {built-in method _ctypes.dlopen}
        7    0.000    0.000    0.004    0.001 enum.py:536(_convert_)
        3    0.000    0.000    0.004    0.001 accessor.py:1(<module>)
        2    0.000    0.000    0.004    0.002 methods.py:48(add_flex_arithmetic_methods)
        2    0.000    0.000    0.004    0.002 _misc.py:1(<module>)
        1    0.000    0.000    0.004    0.004 numpy_support.py:1(<module>)
        2    0.000    0.000    0.004    0.002 methods.py:73(_create_methods)
        1    0.004    0.004    0.004    0.004 arffread.py:1(<module>)
        1    0.000    0.000    0.004    0.004 groupby.py:1(<module>)
        1    0.000    0.000    0.004    0.004 _parser.py:1(<module>)
 1654/558    0.003    0.000    0.004    0.000 sre_parse.py:175(getwidth)
        1    0.000    0.000    0.004    0.004 _internal.py:1(<module>)
     8600    0.004    0.000    0.004    0.000 sre_parse.py:234(__next)
        1    0.000    0.000    0.004    0.004 generic.py:226(NDFrame)
      557    0.001    0.000    0.004    0.000 typing.py:146(_type_check)
        2    0.000    0.000    0.004    0.002 interval.py:1(<module>)
        1    0.000    0.000    0.004    0.004 _secondary_axes.py:1(<module>)
  433/430    0.001    0.000    0.004    0.000 abstract.py:60(__call__)
       41    0.000    0.000    0.004    0.000 overloads.py:24(decorator)
     4754    0.002    0.000    0.004    0.000 {built-in method builtins.max}
    11463    0.003    0.000    0.004    0.000 {built-in method builtins.setattr}
        7    0.000    0.000    0.004    0.001 dataclasses.py:1156(dataclass)
      919    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1089(path_stats)
      412    0.000    0.000    0.004    0.000 colors.py:218(is_color_like)
        2    0.000    0.000    0.004    0.002 readers.py:1(<module>)
       29    0.000    0.000    0.004    0.000 overloads.py:47(register_simple_overload)
       12    0.000    0.000    0.004    0.000 rcsetup.py:401(validate_font_properties)
        9    0.000    0.000    0.004    0.000 _fontconfig_pattern.py:80(parse_fontconfig_pattern)
      618    0.001    0.000    0.004    0.000 _inspect.py:96(getargspec)
        1    0.000    0.000    0.004    0.004 construction.py:97(arrays_to_mgr)
      111    0.000    0.000    0.004    0.000 rcsetup.py:88(f)
        2    0.000    0.000    0.004    0.002 format.py:1(<module>)
     6899    0.004    0.000    0.004    0.000 {method 'expandtabs' of 'str' objects}
     1098    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:173(__exit__)
        1    0.000    0.000    0.003    0.003 ticker.py:1(<module>)
      114    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1343(_path_hooks)
   273/11    0.001    0.000    0.003    0.000 core.py:776(_parseNoCache)
        2    0.000    0.000    0.003    0.002 shape_base.py:1(<module>)
       54    0.000    0.000    0.003    0.000 std.py:345(print_status)
        1    0.000    0.000    0.003    0.003 lowering.py:1(<module>)
        9    0.000    0.000    0.003    0.000 core.py:5392(__init__)
      142    0.003    0.000    0.003    0.000 {built-in method builtins.compile}
    63/11    0.000    0.000    0.003    0.000 core.py:3861(parseImpl)
      919    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:585(_classify_pyc)
        1    0.000    0.000    0.003    0.003 hmac.py:1(<module>)
     29/8    0.000    0.000    0.003    0.000 core.py:4379(leave_whitespace)
        1    0.000    0.000    0.003    0.003 defmatrix.py:1(<module>)
        1    0.000    0.000    0.003    0.003 codegen.py:1(<module>)
      132    0.001    0.000    0.003    0.000 templates.py:887(make_overload_template)
        1    0.000    0.000    0.003    0.003 construction.py:574(_homogenize)
      322    0.001    0.000    0.003    0.000 function_base.py:475(add_newdoc)
        2    0.000    0.000    0.003    0.002 datetimelike.py:1(<module>)
        1    0.000    0.000    0.003    0.003 arraylike.py:1(<module>)
      405    0.001    0.000    0.003    0.000 deprecation.py:9(wrap)
        2    0.000    0.000    0.003    0.002 pickle.py:1(<module>)
        4    0.000    0.000    0.003    0.001 dataclasses.py:1333(make_dataclass)
      409    0.000    0.000    0.003    0.000 core.py:499(copy)
        1    0.000    0.000    0.003    0.003 _pydecimal.py:1(<module>)
        2    0.000    0.000    0.003    0.002 _add_newdocs.py:1(<module>)
      112    0.000    0.000    0.003    0.000 templates.py:1282(decorator)
        4    0.000    0.000    0.003    0.001 std.py:551(__new__)
        2    0.000    0.000    0.003    0.002 exceptions.py:1(<module>)
      112    0.000    0.000    0.003    0.000 templates.py:1260(decorate)
        1    0.000    0.000    0.003    0.003 socket.py:1(<module>)
      105    0.001    0.000    0.003    0.000 deprecation.py:128(deprecate)
        9    0.000    0.000    0.003    0.000 enum.py:483(_create_)
        1    0.000    0.000    0.003    0.003 eval.py:1(<module>)
      241    0.000    0.000    0.003    0.000 rcsetup.py:279(validate_color_for_prop_cycle)
       35    0.000    0.000    0.003    0.000 rcsetup.py:107(<listcomp>)
     1508    0.001    0.000    0.003    0.000 re.py:187(match)
