Creating surface profile...
Computing temperature evolution...
Visualisation
         4014645 function calls (3968377 primitive calls) in 6.743 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  895/894    0.003    0.000    0.045    0.000 <frozen importlib._bootstrap_external>:1399(_get_spec)
  876/873    0.001    0.000    0.043    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
300710/300705    0.040    0.000    0.043    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.042    0.042 axes3d.py:1(<module>)
 27424/24    0.030    0.000    0.041    0.002 _idl.py:564(_replace_heap)
      213    0.013    0.000    0.040    0.000 artist.py:1521(get_setters)
     5304    0.003    0.000    0.040    0.000 re.py:197(search)
        1    0.000    0.000    0.039    0.039 _base.py:1700(parse)
        1    0.000    0.000    0.039    0.039 _base.py:697(parse)
        1    0.000    0.000    0.038    0.038 _mio.py:1(<module>)
     1315    0.009    0.000    0.037    0.000 <frozen importlib._bootstrap_external>:1536(find_spec)
    27960    0.036    0.000    0.036    0.000 {built-in method numpy.array}
        9    0.000    0.000    0.035    0.004 _base.py:734(__init_subclass__)
    27400    0.023    0.000    0.035    0.000 std.py:1174(__iter__)
        1    0.000    0.000    0.035    0.035 _mio4.py:1(<module>)
    27402    0.034    0.000    0.034    0.000 {built-in method numpy.zeros}
   168262    0.034    0.000    0.034    0.000 {built-in method builtins.issubclass}
   126/89    0.000    0.000    0.034    0.000 <frozen importlib._bootstrap_external>:1182(exec_module)
   126/89    0.011    0.000    0.034    0.000 {built-in method _imp.exec_dynamic}
      757    0.001    0.000    0.032    0.000 inspect.py:3252(signature)
      757    0.001    0.000    0.031    0.000 inspect.py:2998(from_callable)
  829/764    0.004    0.000    0.031    0.000 inspect.py:2375(_signature_from_callable)
    54798    0.016    0.000    0.029    0.000 _base.py:1301(isspmatrix)
        1    0.000    0.000    0.029    0.029 colors.py:1(<module>)
        3    0.000    0.000    0.029    0.010 core.py:1(<module>)
      244    0.001    0.000    0.028    0.000 sre_parse.py:944(parse)
   191847    0.028    0.000    0.028    0.000 {built-in method numpy.asarray}
      415    0.003    0.000    0.028    0.000 textwrap.py:422(dedent)
    42233    0.023    0.000    0.028    0.000 book.py:676(get_record_parts)
        1    0.000    0.000    0.028    0.028 _fontconfig_pattern.py:1(<module>)
      132    0.001    0.000    0.027    0.000 _docstring.py:38(__call__)
  526/244    0.001    0.000    0.027    0.000 sre_parse.py:436(_parse_sub)
  122/111    0.000    0.000    0.026    0.000 _docstring.py:79(__call__)
  579/250    0.011    0.000    0.026    0.000 sre_parse.py:494(_parse)
      111    0.000    0.000    0.024    0.000 re.py:249(compile)
  126/124    0.000    0.000    0.023    0.000 <frozen importlib._bootstrap_external>:1174(create_module)
  126/124    0.021    0.000    0.023    0.000 {built-in method _imp.create_dynamic}
       30    0.003    0.000    0.023    0.001 __init__.py:831(_rc_params_in_file)
        1    0.000    0.000    0.022    0.022 _laplacian.py:1(<module>)
      744    0.008    0.000    0.022    0.000 inspect.py:2280(_signature_from_function)
        1    0.000    0.000    0.022    0.022 _xlrd.py:64(get_sheet_data)
       12    0.000    0.000    0.022    0.002 _docstring.py:51(__missing__)
      181    0.008    0.000    0.021    0.000 _xlrd.py:121(<listcomp>)
    27445    0.010    0.000    0.021    0.000 _idl.py:75(_align_32)
        1    0.000    0.000    0.020    0.020 art3d.py:1(<module>)
       42    0.009    0.000    0.020    0.000 enum.py:180(__new__)
        1    0.015    0.015    0.020    0.020 frame.py:475(DataFrame)
      213    0.011    0.000    0.019    0.000 artist.py:1457(<listcomp>)
   149106    0.019    0.000    0.019    0.000 {built-in method _struct.unpack}
        1    0.000    0.000    0.019    0.019 Image.py:1(<module>)
    54798    0.012    0.000    0.018    0.000 core.py:6425(isMaskedArray)
        1    0.000    0.000    0.018    0.018 _decorators.py:1(<module>)
      745    0.002    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:1070(get_data)
      876    0.003    0.000    0.018    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
        1    0.000    0.000    0.017    0.017 _axes.py:46(Axes)
    46335    0.017    0.000    0.017    0.000 sheet.py:714(put_cell_unragged)
     9311    0.017    0.000    0.017    0.000 {method 'search' of 're.Pattern' objects}
        1    0.000    0.000    0.017    0.017 geo.py:1(<module>)
        1    0.000    0.000    0.016    0.016 readers.py:1762(read)
        1    0.000    0.000    0.016    0.016 offsetbox.py:1(<module>)
      244    0.000    0.000    0.016    0.000 sre_compile.py:622(_code)
        2    0.000    0.000    0.016    0.008 core.py:235(read_style_directory)
      435    0.016    0.000    0.016    0.000 {built-in method builtins.dir}
     7540    0.008    0.000    0.016    0.000 inspect.py:2637(__init__)
        1    0.000    0.000    0.015    0.015 axis.py:1(<module>)
      969    0.001    0.000    0.015    0.000 __init__.py:695(__setitem__)
175301/173740    0.014    0.000    0.014    0.000 {built-in method builtins.len}
    76452    0.014    0.000    0.014    0.000 {built-in method builtins.getattr}
        8    0.000    0.000    0.014    0.002 common.py:1(<module>)
   109822    0.014    0.000    0.014    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.014    0.014 multiarray.py:1(<module>)
    46336    0.014    0.000    0.014    0.000 _xlrd.py:77(_parse_cell)
      161    0.000    0.000    0.014    0.000 _decorators.py:508(__call__)
        1    0.000    0.000    0.013    0.013 overrides.py:1(<module>)
      429    0.001    0.000    0.013    0.000 artist.py:1540(number_of_parameters)
     1490    0.005    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
      257    0.001    0.000    0.013    0.000 _decorators.py:391(decorator)
    40693    0.013    0.000    0.013    0.000 {method 'get' of 'dict' objects}
     1327    0.013    0.000    0.013    0.000 {method 'sub' of 're.Pattern' objects}
        1    0.000    0.000    0.013    0.013 polar.py:1(<module>)
        1    0.000    0.000    0.013    0.013 lines.py:1(<module>)
        1    0.000    0.000    0.012    0.012 lgmres.py:1(<module>)
       12    0.000    0.000    0.012    0.001 __init__.py:108(import_module)
       12    0.000    0.000    0.012    0.001 <frozen importlib._bootstrap>:1038(_gcd_import)
     6934    0.004    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
 1250/244    0.006    0.000    0.012    0.000 sre_compile.py:87(_compile)
        1    0.000    0.000    0.012    0.012 textpath.py:1(<module>)
        1    0.000    0.000    0.011    0.011 image.py:1(<module>)
    94463    0.011    0.000    0.011    0.000 {method 'append' of 'list' objects}
       51    0.000    0.000    0.011    0.000 std.py:1212(update)
       92    0.001    0.000    0.011    0.000 __init__.py:1368(_preprocess_data)
    27445    0.011    0.000    0.011    0.000 {method 'tell' of '_io.BufferedReader' objects}
     3455    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
        1    0.000    0.000    0.011    0.011 python_parser.py:244(read)
       52    0.000    0.000    0.011    0.000 std.py:1339(refresh)
        4    0.000    0.000    0.010    0.003 _optional.py:90(import_optional_dependency)
       53    0.000    0.000    0.010    0.000 std.py:1478(display)
        1    0.000    0.000    0.010    0.010 python_parser.py:323(_convert_data)
        1    0.001    0.001    0.010    0.010 base_parser.py:519(_convert_to_ndarrays)
    27434    0.006    0.000    0.010    0.000 _idl.py:90(_read_bytes)
        1    0.000    0.000    0.010    0.010 series.py:1(<module>)
